id;brand;model;reference;price;rimType;compatibility;diametr;ET;width;dia;bolts;CO;color;original
1;4GO;539;;5890;Литые;;15;25;6;108;4;65,1;;false
2;4GO;YQ11;;5890;Литые;;15;25;6;108;4;65,1;;false
3;ACCURIDE;Largus_Vesta;;1580;Стальные;;13;29;5;98;4;60,1;;false
4;ACCURIDE;Largus_Vesta;;3400;Стальные;;15;40;6;100;4;60,1;;false
5;ACCURIDE;Largus_Vesta;;3930;Стальные;;13;45;4,5;100;4;56,6;;false
6;ACCURIDE;Logan2;;2210;Стальные;;15;40;6;100;4;60,1;;false
7;ACCURIDE;Ваз 2103;;1580;Стальные;;13;29;5;98;4;60,1;;false
8;ACCURIDE;Ваз 2108;;1580;Стальные;;13;29;5;98;4;60,1;;false
9;ACCURIDE;Ваз 2108;;3400;Стальные;;15;40;6;100;4;60,1;;false
10;ACCURIDE;Ваз 2108;;3930;Стальные;;13;45;4,5;100;4;56,6;;false
11;ACCURIDE;Ваз 2112;;1580;Стальные;;13;29;5;98;4;60,1;;false
12;ACCURIDE;Ваз 2112;;3400;Стальные;;15;40;6;100;4;60,1;;false
13;ACCURIDE;Ваз 2112;;3930;Стальные;;13;45;4,5;100;4;56,6;;false
14;ACCURIDE;Ваз 2123;;1580;Стальные;;13;29;5;98;4;60,1;;false
15;ACCURIDE;Ваз 2123;;3400;Стальные;;15;40;6;100;4;60,1;;false
16;ACCURIDE;Ваз 2123;;3930;Стальные;;13;45;4,5;100;4;56,6;;false
17;ACCURIDE;Ваз 2170;;1580;Стальные;;13;29;5;98;4;60,1;;false
18;ACCURIDE;Ваз 2170;;3400;Стальные;;15;40;6;100;4;60,1;;false
19;ACCURIDE;Ваз 2170;;3930;Стальные;;13;45;4,5;100;4;56,6;;false
20;ACCURIDE;Нива 21214;;1580;Стальные;;13;29;5;98;4;60,1;;false
21;ACCURIDE;Нива 21214;;3400;Стальные;;15;40;6;100;4;60,1;;false
22;ACCURIDE;Нива 21214;;3930;Стальные;;13;45;4,5;100;4;56,6;;false
23;ACCURIDE;Ока;;1580;Стальные;;13;29;5;98;4;60,1;;false
24;ACCURIDE;Ока;;3400;Стальные;;15;40;6;100;4;60,1;;false
25;ACCURIDE;Ока;;3930;Стальные;;13;45;4,5;100;4;56,6;;false
26;ACCURIDE;УАЗ Cargo Prof;;1580;Стальные;;13;29;5;98;4;60,1;;false
27;ACCURIDE;УАЗ Cargo Prof;;3400;Стальные;;15;40;6;100;4;60,1;;false
28;ACCURIDE;УАЗ Cargo Prof;;3930;Стальные;;13;45;4,5;100;4;56,6;;false
29;ACCURIDE;УАЗ-450;;1580;Стальные;;13;29;5;98;4;60,1;;false
30;ACCURIDE;УАЗ-450;;3400;Стальные;;15;40;6;100;4;60,1;;false
31;ACCURIDE;УАЗ-450;;3930;Стальные;;13;45;4,5;100;4;56,6;;false
32;ACCURIDE;УАЗ-Патриот;;1580;Стальные;;13;29;5;98;4;60,1;;false
33;ACCURIDE;УАЗ-Патриот;;3400;Стальные;;15;40;6;100;4;60,1;;false
34;ACCURIDE;УАЗ-Патриот;;3930;Стальные;;13;45;4,5;100;4;56,6;;false
35;ALCAR STAHLRAD (KFZ);1140;;5890;Стальные;;15;25;6;108;4;65,1;;false
36;ALCAR STAHLRAD (KFZ);2040;;3400;Стальные;;13;45;4,5;100;4;56,6;;false
37;ALCAR STAHLRAD (KFZ);2040;;3930;Стальные;;13;46;5;100;4;54,1;;false
38;ALCAR STAHLRAD (KFZ);2490;;3400;Стальные;;13;45;4,5;100;4;56,6;;false
39;ALCAR STAHLRAD (KFZ);2490;;3930;Стальные;;13;46;5;100;4;54,1;;false
40;ALCAR STAHLRAD (KFZ);2590;;3930;Стальные;;13;46;4,5;100;4;54,1;;false
41;ALCAR STAHLRAD (KFZ);2910;;3400;Стальные;;13;45;4,5;100;4;56,6;;false
