id;diametr;size;brand;price_min;price_med
1;R13;155/65;KAMA;3056;3479
2;R13;155/70;CORDIANT;2487;2984
3;R13;155/70;TIGAR;2811;3326
4;R13;155/80;TOYO;3395;3657
5;R13;165/70;TIGAR;3007;3777
6;R13;175/70;BFGOODRICH;3448;3614
7;R13;175/70;CORDIANT;2505;3050
8;R13;175/70;KAMA;2347;2347
9;R13;175/70;NOKIAN;2982;3370
10;R13;175/70;NORDMAN;2982;3370
11;R13;175/70;TIGAR;2862;3056
12;R13;175/70;TOYO;3118;3322
13;R13;175/70;TUNGA;2356;2904
14;R13;175/70;VIATTI;2709;3611
15;R14;102/10;KORMORAN;5574;5906
16;R14;165/60;TIGAR;3027;3170
17;R14;165/65;KORMORAN;2986;3117
18;R14;165/70;HANKOOK;4036;4113
19;R14;165/70;KUMHO;3664;4214
20;R14;165/70;NOKIAN;2892;3436
21;R14;165/70;OVATION;2141;2192
22;R14;165/70;PIRELLI;4337;4462
23;R14;165/80;BARUM;4104;4104
24;R14;175/65;CORDIANT;2627;3114
25;R14;175/65;GITI;3108;3181
26;R14;175/65;GT RADIAL;3108;3181
27;R14;175/65;HANKOOK;3348;3412
28;R14;175/65;KAMA;2767;2872
29;R14;175/65;KORMORAN;2842;3293
30;R14;175/65;NITTO;3730;3730
31;R14;175/65;NOKIAN;3017;3434
32;R14;175/65;PIRELLI;4163;4282
33;R14;175/65;TOYO;3480;4131
34;R14;175/65;TUNGA;2152;2598
35;R14;175/65;VIATTI;2672;3011
36;R14;175/65;YOKOHAMA;3950;4542
37;R14;175/70;BRIDGESTONE;3958;4297
38;R14;175/70;GITI;3152;3226
39;R14;175/70;GT RADIAL;3152;3226
40;R14;175/70;KAMA;2432;2591
41;R14;175/70;NOKIAN;3114;3545
42;R14;175/70;VIATTI;2902;3198
43;R14;185/55;TIGAR;3518;4312
44;R14;185/60;AMTEL;2200;2200
45;R14;185/60;BRIDGESTONE;4030;4107
46;R14;185/60;CORDIANT;3234;4094
47;R14;185/60;KORMORAN;3227;3227
48;R14;185/60;KUMHO;3308;3308
49;R14;185/60;MATADOR;3107;3339
50;R14;185/60;NOKIAN;2948;3018
51;R14;185/60;TUNGA;2364;2819
52;R14;185/60;VIATTI;3102;3585
53;R14;185/65;AMTEL;2230;2230
54;R14;185/65;BFGOODRICH;3774;3774
55;R14;185/65;CONTINENTAL;6270;7007
56;R14;185/65;CORDIANT;2363;2636
57;R14;185/65;KAMA;2397;2788
58;R14;185/65;KUMHO;3463;3463
59;R14;185/65;NOKIAN;2902;3034
60;R14;185/65;PIRELLI;3451;3451
61;R14;185/70;CORDIANT;2798;3219
62;R14;185/70;GITI;3392;3473
63;R14;185/70;GT RADIAL;3392;3473
64;R14;185/70;HANKOOK;3608;3976
65;R14;185/70;KAMA;3152;3904
66;R14;185/70;NOKIAN;3360;3443
67;R14;185/70;TUNGA;2444;2942
68;R14;195/70;HANKOOK;4728;5455
69;R14;205/70;ROSAVA;3828;4669
70;R15;106/10;OVATION;4425;5208
71;R15;175/60;KUMHO;4198;5107
72;R15;175/65;BMW;8508;8637
73;R15;175/65;KORMORAN;3321;3467
74;R15;175/80;TOYO;4530;5230
75;R15;185/55;GOODYEAR;5648;5811
76;R15;185/55;HANKOOK;4774;5364
77;R15;185/55;NOKIAN;3398;4196
78;R15;185/55;NORDMAN;3398;4196
79;R15;185/55;VIATTI;3600;4446
80;R15;185/55;YOKOHAMA;5544;5704
81;R15;185/60;BFGOODRICH;4191;4373
82;R15;185/60;DUNLOP;6415;6415
83;R15;185/60;GITI;3689;3864
84;R15;185/60;GT RADIAL;3689;3864
85;R15;185/60;MARSHAL;6835;6835
86;R15;185/60;MATADOR;3684;4286
87;R15;185/60;MICHELIN;6027;6769
88;R15;185/60;NOKIAN;3851;4185
89;R15;185/60;NORDMAN;3851;4185
90;R15;185/60;SAVA;3513;3513
91;R15;185/60;YOKOHAMA;3774;4457
92;R15;185/65;BFGOODRICH;4390;5070
93;R15;185/65;BRIDGESTONE;4133;4726
94;R15;185/65;GITI;3612;3784
95;R15;185/65;GT RADIAL;3612;3784
96;R15;185/65;KORMORAN;2900;2900
97;R15;185/65;NOKIAN;3913;4796
98;R15;185/65;NORDMAN;2949;3413
99;R15;185/65;PIRELLI;4792;4792
100;R15;185/65;TIGAR;3311;3720
101;R15;185/65;TOYO;3360;3360
102;R15;185/65;TUNGA;2669;3281
103;R15;195/55;BFGOODRICH;4695;4918
104;R15;195/55;GOODYEAR;7452;8262
105;R15;195/55;HANKOOK;7644;7644
106;R15;195/55;KAMA;2990;2990
107;R15;195/55;KORMORAN;6780;6780
108;R15;195/55;MARSHAL;6050;6050
109;R15;195/55;NOKIAN;5077;5951
110;R15;195/60;BRIDGESTONE;4474;4861
111;R15;195/60;GITI;3503;3856
112;R15;195/60;GT RADIAL;3503;3856
113;R15;195/60;HANKOOK;3514;3672
114;R15;195/60;MATADOR;3455;4014
115;R15;195/60;MICHELIN;4215;5019
116;R15;195/60;NOKIAN;3613;4113
117;R15;195/60;VIATTI;3285;3782
118;R15;195/60;YOKOHAMA;4084;4669
119;R15;195/60;ZEETEX;3245;3256
120;R15;195/65;CONTINENTAL;5640;6676
121;R15;195/65;CORDIANT;2867;3279
122;R15;195/65;GITI;3777;3956
123;R15;195/65;GT RADIAL;3777;3956
124;R15;195/65;KAMA;2643;3301
125;R15;195/65;KORMORAN;3571;3728
126;R15;195/65;KUMHO;4170;4170
127;R15;195/65;MARSHAL;3580;3580
128;R15;195/65;MATADOR;3451;3517
129;R15;195/65;NITTO;3680;4340
130;R15;195/65;NOKIAN;3321;3987
131;R15;195/65;NORDMAN;3694;4338
132;R15;195/65;OVATION;2842;3716
133;R15;195/65;PIRELLI;4089;4386
134;R15;195/65;TUNGA;2444;2990
135;R15;195/65;VIATTI;3153;3298
136;R15;195/65;YOKOHAMA;3531;3964
137;R15;195/65;ZEETEX;3325;3336
138;R15;195/65;¡≈Àÿ»Õ¿;2873;3017
139;R15;195/70;CORDIANT;4510;5519
140;R15;195/70;KAMA;4369;4897
141;R15;195/70;KORMORAN;5868;6219
142;R15;195/70;MATADOR;5113;5627
143;R15;195/70;MICHELIN;8300;9030
144;R15;195/70;NOKIAN;7713;8401
145;R15;195/70;NORDMAN;7713;8401
146;R15;195/70;UNIROYAL;5749;5749
147;R15;195/70;VIATTI;5126;6392
148;R15;195/70;YOKOHAMA;6628;8353
149;R15;205/60;CONTINENTAL;5202;5671
150;R15;205/60;KLEBER;4210;4210
151;R15;205/65;DUNLOP;3689;4263
152;R15;205/65;GOODYEAR;4915;5410
153;R15;205/65;KUMHO;4687;5170
154;R15;205/65;MATADOR;3599;3919
155;R15;205/65;MICHELIN;5767;6111
156;R15;205/65;NOKIAN;3812;4430
157;R15;205/65;TUNGA;2909;3456
158;R15;205/65;YOKOHAMA;6495;7074
159;R15;205/65;ZEETEX;3771;3783
160;R15;205/70;BRIDGESTONE;4077;4155
161;R15;205/70;CORDIANT;4901;5538
162;R15;205/70;DUNLOP;4972;6192
163;R15;205/70;GISLAVED;5450;6853
164;R15;205/70;KAMA;4989;6188
165;R15;205/70;KORMORAN;4234;4661
166;R15;205/70;KUMHO;6918;8078
167;R15;205/70;NOKIAN;4472;5205
168;R15;205/70;SUNFULL;3714;3951
169;R15;205/70;TIGAR;5622;5889
170;R15;205/70;VIATTI;4237;4668
171;R15;205/70;YOKOHAMA;5127;5584
172;R15;205/70;¡≈Àÿ»Õ¿;4855;5237
173;R15;205/75;GITI;4787;5014
174;R15;205/75;GT RADIAL;4787;5014
175;R15;215/65;HANKOOK;6390;7012
176;R15;215/65;KAMA;2501;5155
177;R15;215/65;VIATTI;5291;5596
178;R15;215/70;CONTINENTAL;9249;10782
179;R15;215/70;KORMORAN;7073;7496
180;R15;215/70;TIGAR;7483;8310
181;R15;215/70;YOKOHAMA;6172;6722
182;R15;215/75;OVATION;4414;4519
183;R15;215/90;KAMA;4954;5639
184;R15;225/70;CONTINENTAL;9199;10029
185;R15;225/70;KORMORAN;6988;7405
186;R15;225/70;KUMHO;5810;5810
187;R15;225/70;MATADOR;6532;8125
188;R15;225/85;FORWARD;4517;4517
189;R15;225/85;KAMA;4895;5573
190;R15;235/75;NEXEN;6938;6939
191;R15;235/75;ROADSTONE;6938;6939
192;R15;255/70;KUMHO;7972;8505
193;R15;265/70;YOKOHAMA;10108;11704
194;R16;135/90;MAXXIS;9935;13594
195;R16;175/80;HANKOOK;5606;5767
196;R16;175/80;¡≈Àÿ»Õ¿;4258;5387
197;R16;185/75;CORDIANT;4528;5322
198;R16;185/75;FORWARD;3294;3915
199;R16;185/75;KAMA;4345;4904
200;R16;195/45;HANKOOK;4761;6215
201;R16;195/45;KUMHO;5137;6283
202;R16;195/50;KUMHO;4662;7380
203;R16;195/55;BMW;13261;13764
204;R16;195/55;CONTINENTAL;6430;7117
205;R16;195/55;CORDIANT;4650;4650
206;R16;195/55;GISLAVED;8300;8300
207;R16;195/55;KORMORAN;3680;3739
208;R16;195/55;MARSHAL;7896;7896
209;R16;195/55;MATADOR;4745;5424
210;R16;195/55;NOKIAN;5093;5602
211;R16;195/55;YOKOHAMA;7148;7368
212;R16;195/60;GOODYEAR;11277;11277
213;R16;195/65;GITI;5314;5440
214;R16;195/65;GT RADIAL;5314;5440
215;R16;195/65;OVATION;3744;3833
216;R16;195/75;KORMORAN;6633;7030
217;R16;195/75;MICHELIN;984;10154
218;R16;195/75;TIGAR;6167;6664
219;R16;205/45;HANKOOK;6896;8134
220;R16;205/50;TOYO;6182;7140
221;R16;205/55;BFGOODRICH;4454;4717
222;R16;205/55;BMW;12662;14520
223;R16;205/55;CONTINENTAL;7119;8664
224;R16;205/55;CORDIANT;3561;4372
225;R16;205/55;GITI;4524;4738
226;R16;205/55;GOODYEAR;8060;8871
227;R16;205/55;GT RADIAL;4524;4738
228;R16;205/55;KAMA;3061;3082
229;R16;205/55;MARSHAL;4541;5201
230;R16;205/55;NITTO;5290;5290
231;R16;205/55;NOKIAN;5520;6100
232;R16;205/55;NORDMAN;6530;6530
233;R16;205/55;PIRELLI;4652;4886
234;R16;205/55;TOYO;5359;6362
235;R16;205/55;TUNGA;4595;5021
236;R16;205/55;VIATTI;4019;4424
237;R16;205/60;CONTINENTAL;8112;10802
238;R16;205/60;CORDIANT;4119;5039
239;R16;205/60;DUNLOP;4870;4870
240;R16;205/60;GITI;4897;5129
241;R16;205/60;GT RADIAL;4897;5129
242;R16;205/60;KORMORAN;4829;5118
243;R16;205/60;NOKIAN;8087;8522
244;R16;205/60;PIRELLI;8456;9476
245;R16;205/60;TIGAR;6880;6880
246;R16;205/60;TUNGA;3505;4164
247;R16;205/65;DUNLOP;5140;5140
248;R16;205/65;GITI;4996;5893
249;R16;205/65;GT RADIAL;4996;5893
250;R16;205/65;KORMORAN;5266;6141
251;R16;205/65;KUMHO;4183;6523
252;R16;205/65;MATADOR;7539;8457
253;R16;205/65;MICHELIN;11575;13121
